stop_id,stop_code,stop_name,stop_desc,wheelchair_boarding,stop_lat,stop_lon
9767,9767,SHACKELFORD @ LINDSAY SB,FAR SIDE SHACKELFORD @ LINDSAY SB,2,38.810646,-90.353794
8671,8671,CHIPPEWA @ CALIFORNIA WB,FAR SIDE CHIPPEWA @ CALIFORNIA WB,1,38.586777,-90.231821
9733,9733,PATTERSON @ NEW HALLS FERRY WB,FAR SIDE PATTERSON @ NEW HALLS FERRY WB,2,38.825646,-90.310925
11059,11059,MCCLINTOCK @ PORTLAND EB,FAR SIDE MCCLINTOCK @ PORTLAND EB,2,38.508412,-89.965909
12102,12102,MAIN @ 78TH STREET SB,NEAR SIDE MAIN @ 78TH STREET SB,2,38.563283,-90.047973
12042,12042,WEBER @ OFALLON HIGH SCHOOL REAR NB,MID-BLOCK WEBER @ OFALLON HIGH SCHOOL REAR NB,2,38.585469,-89.898488
12044,12044,WEBER @ 3RD STREET NB,NEAR SIDE WEBER @ 3RD STREET NB,2,38.588475,-89.897680
14901,14901,STATE @ 46TH STREET EB,NEAR SIDE STATE @ 46TH STREET EB,1,38.607957,-90.107080
11692,11692,LONG @ MORRIS SB,NEAR SIDE LONG @ MORRIS SB,,38.637328,-90.026319
12011,12011,2620 LEBANON EB,MID-BLOCK 2620 LEBANON EB,2,38.544068,-89.938132
11325,11325,17TH STREET @ A STREET SB,NEAR SIDE 17TH STREET @ A STREET SB,2,38.519271,-90.001966
11202,11202,WEST @ A STREET NB,NEAR SIDE WEST @ A STREET NB,2,38.526926,-89.954028
11171,11171,MAIN @ FLORIDA WB,NEAR SIDE MAIN @ FLORIDA WB,,38.517310,-89.964805
11623,11623,ILLINOIS @ EMERALD TERRACE NB,NEAR SIDE ILLINOIS @ EMERALD TERRACE NB,,38.546979,-89.984000
12789,12789,COOKSON @ 37TH STREET WB,FAR SIDE COOKSON @ 37TH STREET WB,,38.645492,-90.112007
12089,12089,MAIN @ GLENVIEW SB,NEAR SIDE MAIN @ GLENVIEW SB,2,38.577594,-90.056358
13834,13834,9TH STREET @ OFALLON NB,NEAR SIDE 9TH STREET @ OFALLON NB,1,38.636563,-90.190718
13218,13218,STATE @ 19TH STREET WB,FAR SIDE STATE @ 19TH STREET WB,2,38.619418,-90.136108
12747,12747,COLLINSVILLE @ 32ND STREET EB,FAR SIDE COLLINSVILLE @ 32ND STREET EB,2,38.644615,-90.114765
12487,12487,37TH STREET @ BUMKUM NB,NEAR SIDE 37TH STREET @ BUMKUM NB,,38.623306,-90.111247
14192,14192,525 25TH STREET SB,MID-BLOCK 525 25TH STREET SB,2,38.613482,-90.128850
11842,11842,LUDWIG @ FAIRVIEW HEIGHTS PLAZA - RED LOBSTER EB,MID-BLOCK LUDWIG @ FAIRVIEW HEIGHTS PLAZA - RED LOBSTER EB,2,38.600917,-89.991441
731,731,WEST FLORISSANT @ BUZZ WESTFALL PLAZA NB,NEAR SIDE WEST FLORISSANT @ BUZZ WESTFALL PLAZA NB,2,38.726591,-90.275915
15889,15889,CRAIG @ DEBONNAIRE SB,NEAR SIDE CRAIG @ DEBONNAIRE SB,2,38.675933,-90.438053
15013,15013,WEST FLORISSANT @ LUCAS-HUNT SB,FAR SIDE WEST FLORISSANT @ LUCAS-HUNT SB,1,38.724902,-90.274476
14241,14241,WEST US-50 @ EAGLE CENTER WB,NEAR SIDE WEST US-50 @ EAGLE CENTER WB,2,38.590263,-89.930615
16254,16254,HORAN @ UTHOFF WB,FAR SIDE HORAN @ UTHOFF WB,2,38.538281,-90.466668
13447,13447,3507 LINDELL WB,MID-BLOCK 3507 LINDELL WB,1,38.636752,-90.229643
